playerName,height,weight,birthDate,country,url,goals,shots,penalties,foulsReceived,offSides,foulsCommited,recoveries,passesCutOff,entrancesWon,duels,cards,passes,goalAssists,dribbles,corners,ballLosses
Carlos Dotor,,,14 de marzo de 2001,España,https://www.marca.com/resultados/futbol/jugadores/d1/68/carlos-dotor/ficha/P448178.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sergio Arribas,,,29 de septiembre de 2001 en Madrid,España,https://www.marca.com/resultados/futbol/jugadores/9a/6b/sergio-arribas/ficha/P493344.html,0,0,0,0,0,0,1,0,8,0,0,0,0,0,1,1
Nico Paz,,,7 de septiembre de 2004,Argentina,https://www.marca.com/resultados/futbol/jugadores/9c/bb/nico-paz/ficha/P551493.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eden Hazard,175 cm,74 kg,6 de enero de 1991 en La Louvière,Bélgica,https://www.marca.com/resultados/futbol/jugadores/d6/85/eden-hazard/ficha/P42786.html,0,2,1,4,0,1,3,0,81,0,8,0,1,2,0,16
Karim Benzema,185 cm,81 kg,18 de diciembre de 1987 en Lyon,Francia,https://www.marca.com/resultados/futbol/jugadores/d4/df/karim-benzema/ficha/P19927.html,14,61,6,5,18,9,29,1,753,4,94,1,3,13,2,167
Marco Asensio,182 cm,76 kg,20 de enero de 1996 en Palma de Mallorca,España,https://www.marca.com/resultados/futbol/jugadores/92/3c/marco-asensio/ficha/P174292.html,6,26,1,10,2,9,30,3,433,9,73,1,4,14,47,114
Vinicius José Paixão de Oliveira Júnior,176 cm,73 kg,11 de julio de 2000 en São Gonçalo,Brasil,https://www.marca.com/resultados/futbol/jugadores/ac/43/vinicius-junior/ficha/P246333.html,8,47,0,97,15,42,81,6,840,19,433,8,6,80,51,478
Rodrygo Silva de Goes,174 cm,64 kg,8 de enero de 2001 en Osasco,Brasil,https://www.marca.com/resultados/futbol/jugadores/2f/f5/rodrygo/ficha/P440077.html,5,53,1,34,6,15,38,6,714,6,217,2,7,52,18,212
Mariano Díaz,180 cm,76 kg,31 de julio de 1993 en Barcelona,RepúblicaDominicana,https://www.marca.com/resultados/futbol/jugadores/08/04/mariano/ficha/P178347.html,0,3,0,0,1,3,4,0,15,0,8,2,0,0,0,6
Álvaro Rodríguez,,,21 de julio de 1994 en Leganés,España,https://www.marca.com/resultados/futbol/jugadores/22/43/alvaro-rodriguez/ficha/P245837.html,4,18,0,25,2,35,152,27,920,33,243,6,3,24,118,503
Ivo Grbic,195 cm,83 kg,17 de enero de 1996 en Split,Croacia,https://www.marca.com/resultados/futbol/jugadores/d5/9b/ivo-grbic/ficha/P173268.html,0,1,1,79,46
Jan Oblak,188 cm,87 kg,6 de enero de 1993 en Skojfa Loka,Eslovenia,https://www.marca.com/resultados/futbol/jugadores/da/41/jan-oblak/ficha/P81352.html,0,3,1,649,253
Antonio Gomis,,,19 de mayo de 2003 en Elche,España,https://www.marca.com/resultados/futbol/jugadores/e0/94/antonio-gomis/ficha/P493104.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alejandro Iturbe,,,1 de septiembre de 2003 en Madrid,España,https://www.marca.com/resultados/futbol/jugadores/b2/fb/alejandro-iturbe/ficha/P494920.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sergio Mestre,,,12 de febrero de 2005,España,https://www.marca.com/resultados/futbol/jugadores/4c/55/sergio-mestre/ficha/P593179.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
José Giménez,185 cm,77 kg,19 de enero de 1995 en Toledo,Uruguay,https://www.marca.com/resultados/futbol/jugadores/c3/76/jose-gimenez/ficha/P151883.html,1,15,0,6,0,14,99,19,889,16,106,7,0,3,0,115
Sergio Reguilón,178 cm,68 kg,15 de diciembre de 1996 en Madrid,España,https://www.marca.com/resultados/futbol/jugadores/1c/f0/sergio-reguilon/ficha/P199249.html,0,0,0,3,1,1,5,1,47,2,12,1,0,0,5,15
Matt Doherty,185 cm,80 kg,15 de enero de 1992,Irlanda,https://www.marca.com/resultados/futbol/jugadores/5d/73/matt-doherty/ficha/P87835.html,1,6,0,4,0,11,31,8,329,10,80,0,0,7,18,98
Stefan Savic,187 cm,81 kg,7 de enero de 1991 en Mojkovac,Montenegro,https://www.marca.com/resultados/futbol/jugadores/50/39/stefan-savic/ficha/P65807.html,0,2,0,8,1,29,100,31,1076,25,170,6,0,5,0,135
Nahuel Molina,175 cm,70 kg,5 de abril de 1998 en Embalse,Argentina,https://www.marca.com/resultados/futbol/jugadores/45/a9/nahuel-molina/ficha/P221586.html,1,8,0,11,2,16,114,8,1067,28,174,7,1,13,93,413
Mario Hermoso,184 cm,75 kg,17 de junio de 1995 en Madrid,España,https://www.marca.com/resultados/futbol/jugadores/2f/7c/mario-hermoso/ficha/P213431.html,3,8,0,7,1,18,88,12,804,8,95,3,0,6,2,137
